,len,PUNCT,AUX,ADV,PART,CCONJ,NOUN,SCONJ,VERB,ADP,PROPN,PRON,NUM,ADJ,advmod:emph,obl:arg,flat,nsubj,root,advcl,mark,det,advcl:pred,csubj,xcomp,obl,nmod,cc,nsubj:pass,discourse,csubj:pass,acl,amod,nummod,conj,case,xcomp:pred,aux:pass,advmod:neg,cop,obj,ccomp,fixed,acl:relcl,advmod,orphan,punct
len,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-0.9999999999999999,-1.0000000000000002,-1.0,1.0,0.9999999999999999,-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,0.9999999999999999,-1.0000000000000002,1.0,-1.0,1.0,1.0000000000000002,-0.9999999999999999,-1.0,-1.0,1.0000000000000002,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0000000000000002,1.0,0.9999999999999998,1.0,-1.0,-1.0,-1.0,-1.0,-1.0000000000000002,-1.0
PUNCT,-1.0,1.0,-1.0000000000000002,1.0000000000000002,-1.0000000000000002,1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,-0.9999999999999999,-1.0,-1.0,-0.9999999999999999,1.0,1.0,1.0,-0.9999999999999999,1.0000000000000002,-1.0,1.0,-1.0,-1.0000000000000002,1.0,1.0,1.0000000000000002,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0000000000000002,1.0000000000000002,-0.9999999999999999,-1.0,-1.0,1.0,1.0000000000000002,1.0000000000000002,1.0,1.0000000000000002,1.0
AUX,1.0,-1.0000000000000002,1.0,-1.0,1.0,-1.0,1.0,-0.9999999999999998,-1.0,-1.0,1.0000000000000002,1.0000000000000002,-0.9999999999999998,1.0,1.0,1.0,1.0000000000000002,1.0,-1.0000000000000002,-1.0000000000000002,-1.0,1.0,-1.0000000000000002,1.0,-1.0,0.9999999999999999,1.0,-1.0,-0.9999999999999999,-1.0,1.0000000000000002,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0000000000000002,1.0,0.9999999999999998,1.0,-1.0000000000000002,-1.0,-1.0000000000000002,-1.0,-1.0000000000000002,-1.0000000000000002
ADV,-1.0,1.0000000000000002,-1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,1.0000000000000002,-1.0,-1.0,-1.0,-1.0,-1.0000000000000002,1.0000000000000002,1.0,1.0,-1.0,1.0,-1.0000000000000002,0.9999999999999998,-0.9999999999999998,-1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0,-1.0,-1.0,1.0000000000000002,1.0,1.0,1.0,1.0,1.0000000000000002,-0.9999999999999998,-1.0,-1.0,0.9999999999999998,1.0,1.0,1.0,1.0,1.0000000000000002
PART,1.0,-1.0000000000000002,1.0,-1.0,1.0,-1.0,1.0000000000000002,-1.0000000000000002,-1.0,-1.0,1.0000000000000002,1.0,-1.0,1.0,1.0,1.0,1.0000000000000002,1.0,-1.0,-1.0000000000000002,-1.0000000000000002,1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0000000000000002,-1.0,1.0000000000000002,1.0000000000000002,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0000000000000002,1.0000000000000002,1.0,-1.0,-1.0,-1.0,-1.0000000000000002,-1.0,-1.0000000000000002
CCONJ,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,1.0000000000000002,1.0,-1.0,-0.9999999999999998,1.0,-1.0,-1.0,-1.0000000000000002,-1.0,-1.0,1.0,1.0,1.0,-0.9999999999999999,0.9999999999999998,-1.0,0.9999999999999998,-1.0,-1.0,0.9999999999999998,1.0,1.0,-1.0,-1.0,1.0,0.9999999999999998,1.0,1.0,1.0,1.0000000000000002,-1.0,-1.0,-0.9999999999999999,0.9999999999999998,1.0,1.0,1.0,0.9999999999999998,1.0
NOUN,1.0,-1.0,1.0,-1.0,1.0000000000000002,-1.0,1.0,-1.0,-1.0,-1.0,1.0,0.9999999999999999,-1.0000000000000002,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0000000000000002,-1.0,1.0,-1.0,1.0,-1.0,1.0,1.0000000000000002,-1.0,-1.0000000000000002,-1.0000000000000002,1.0,1.0,-1.0,-1.0,-1.0000000000000002,-1.0,-1.0000000000000002,-1.0000000000000002,1.0000000000000002,1.0,1.0,-1.0,-1.0000000000000002,-1.0,-1.0,-1.0,-1.0
SCONJ,-0.9999999999999999,1.0,-0.9999999999999998,1.0,-1.0000000000000002,1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-0.9999999999999999,1.0,1.0,1.0000000000000002,-1.0,1.0,-1.0,0.9999999999999999,-1.0,-1.0,0.9999999999999998,0.9999999999999999,1.0000000000000002,-1.0,-0.9999999999999999,0.9999999999999998,1.0,0.9999999999999998,0.9999999999999999,1.0000000000000002,1.0,-1.0,-1.0,-1.0,1.0,1.0000000000000002,1.0,0.9999999999999999,1.0,1.0
VERB,-1.0000000000000002,1.0,-1.0,1.0,-1.0,1.0000000000000002,-1.0,1.0,1.0,1.0,-0.9999999999999999,-0.9999999999999999,0.9999999999999998,-0.9999999999999999,-1.0000000000000002,-1.0,-0.9999999999999999,-1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,0.9999999999999999,-0.9999999999999999,-1.0,1.0,1.0,1.0,-1.0,-1.0,1.0000000000000002,0.9999999999999998,0.9999999999999999,1.0000000000000002,1.0,1.0,-1.0,-1.0,-1.0,1.0000000000000002,1.0,1.0,1.0,1.0,1.0000000000000002
ADP,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,0.9999999999999998,-0.9999999999999998,-1.0,-0.9999999999999998,-1.0,-0.9999999999999998,1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,-0.9999999999999999,-1.0,1.0,1.0,1.0,-0.9999999999999999,-1.0,1.0000000000000002,1.0,1.0,1.0,1.0,1.0,-1.0000000000000002,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0
PROPN,1.0,-1.0,1.0000000000000002,-1.0,1.0000000000000002,-1.0,1.0,-1.0,-0.9999999999999999,-1.0,1.0,0.9999999999999999,-1.0,1.0,0.9999999999999999,0.9999999999999999,1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,-0.9999999999999999,-1.0,0.9999999999999999,1.0,-1.0000000000000002,-0.9999999999999999,-1.0,-0.9999999999999999,-1.0,-1.0000000000000002,0.9999999999999999,1.0,1.0,-1.0,-1.0,-1.0,-0.9999999999999998,-1.0,-1.0
PRON,0.9999999999999999,-1.0,1.0000000000000002,-1.0,1.0,-0.9999999999999998,0.9999999999999999,-1.0,-0.9999999999999999,-1.0,0.9999999999999999,1.0,-0.9999999999999998,0.9999999999999999,1.0,1.0,0.9999999999999999,1.0,-1.0,-0.9999999999999999,-1.0,0.9999999999999998,-0.9999999999999999,0.9999999999999998,-0.9999999999999999,0.9999999999999999,1.0,-1.0,-0.9999999999999999,-1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,-0.9999999999999998,-0.9999999999999998,-0.9999999999999999,-1.0
NUM,-1.0,1.0,-0.9999999999999998,1.0000000000000002,-1.0,1.0,-1.0000000000000002,1.0,0.9999999999999998,0.9999999999999998,-1.0,-0.9999999999999998,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,-0.9999999999999998,1.0,-1.0,1.0000000000000002,-0.9999999999999998,-1.0,0.9999999999999998,0.9999999999999998,1.0,-1.0,-1.0,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,-1.0000000000000002,-1.0,-1.0,1.0,1.0,1.0,0.9999999999999999,1.0,1.0
ADJ,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,-0.9999999999999999,-0.9999999999999998,1.0,0.9999999999999999,-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,0.9999999999999998,-1.0,-0.9999999999999999,-0.9999999999999999,0.9999999999999999,1.0,-0.9999999999999999,-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.9999999999999999,1.0,1.0,-1.0,-0.9999999999999999,-0.9999999999999998,-1.0,-1.0,-1.0
advmod:emph,1.0,-0.9999999999999999,1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0000000000000002,-1.0,0.9999999999999999,1.0,-1.0,1.0,1.0,1.0,0.9999999999999999,1.0,-1.0,-1.0,-0.9999999999999999,1.0,-0.9999999999999999,1.0,-1.0,1.0,1.0,-0.9999999999999999,-1.0000000000000002,-1.0,1.0,1.0,-1.0,-1.0,-1.0000000000000002,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-0.9999999999999998,-0.9999999999999999,-1.0
obl:arg,1.0,-1.0,1.0,-1.0,1.0,-1.0000000000000002,1.0,-1.0,-1.0,-0.9999999999999998,0.9999999999999999,1.0,-1.0,1.0,1.0,1.0,0.9999999999999999,0.9999999999999998,-1.0,-1.0,-0.9999999999999999,0.9999999999999999,-1.0,1.0,-1.0,0.9999999999999999,1.0,-1.0,-0.9999999999999999,-1.0,1.0,1.0,-1.0,-1.0,-1.0000000000000002,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,-0.9999999999999998,-1.0,-1.0,-1.0
flat,1.0,-1.0,1.0000000000000002,-1.0,1.0000000000000002,-1.0,1.0,-1.0,-0.9999999999999999,-1.0,1.0,0.9999999999999999,-1.0,1.0,0.9999999999999999,0.9999999999999999,1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,-0.9999999999999999,-1.0,0.9999999999999999,1.0,-1.0000000000000002,-0.9999999999999999,-1.0,-0.9999999999999999,-1.0,-1.0000000000000002,0.9999999999999999,1.0,1.0,-1.0,-1.0,-1.0,-0.9999999999999998,-1.0,-1.0
nsubj,1.0,-0.9999999999999999,1.0,-1.0000000000000002,1.0,-1.0,1.0,-0.9999999999999999,-1.0,-0.9999999999999998,1.0,1.0,-1.0,1.0,1.0,0.9999999999999998,1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,0.9999999999999999,1.0,-1.0,-1.0,-1.0,0.9999999999999999,1.0,-1.0000000000000002,-0.9999999999999998,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-0.9999999999999998,-1.0,-1.0
root,-1.0,1.0,-1.0000000000000002,1.0000000000000002,-1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0000000000000002,1.0,-1.0,1.0,-1.0,1.0000000000000002,-1.0000000000000002,-1.0,1.0,0.9999999999999998,1.0,-1.0000000000000002,-1.0,0.9999999999999999,1.0,1.0000000000000002,1.0000000000000002,1.0,1.0,-1.0000000000000002,-1.0,-1.0,1.0000000000000002,1.0,1.0,1.0,1.0,1.0
advcl,-1.0,1.0,-1.0000000000000002,1.0,-1.0000000000000002,1.0,-1.0000000000000002,1.0,1.0,1.0,-1.0,-0.9999999999999999,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0000000000000002,1.0,1.0,-1.0,1.0,-1.0000000000000002,1.0,-1.0,-1.0,0.9999999999999999,1.0,1.0,-1.0,-1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0
mark,-1.0,1.0,-1.0,1.0,-1.0000000000000002,1.0,-1.0,1.0000000000000002,1.0,1.0,-1.0,-1.0,1.0,-1.0,-0.9999999999999999,-0.9999999999999999,-1.0,-1.0,1.0,1.0,1.0,-1.0000000000000002,1.0,-1.0,1.0000000000000002,-1.0,-1.0,0.9999999999999999,1.0,1.0,-1.0000000000000002,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0000000000000002,1.0,1.0,1.0,1.0,1.0
det,0.9999999999999999,-0.9999999999999999,1.0,-1.0,1.0,-0.9999999999999999,1.0,-1.0,-1.0,-1.0,1.0,0.9999999999999998,-0.9999999999999998,1.0,1.0,0.9999999999999999,1.0,1.0,-1.0,-1.0,-1.0000000000000002,1.0,-1.0,1.0,-0.9999999999999999,1.0,1.0,-0.9999999999999999,-1.0,-1.0000000000000002,1.0000000000000002,1.0000000000000002,-1.0000000000000002,-0.9999999999999999,-1.0,-0.9999999999999999,-1.0000000000000002,-1.0,1.0,0.9999999999999998,0.9999999999999999,-1.0,-1.0000000000000002,-1.0,-0.9999999999999998,-1.0,-1.0
advcl:pred,-1.0000000000000002,1.0000000000000002,-1.0000000000000002,1.0,-1.0,0.9999999999999998,-1.0,1.0,1.0,1.0,-1.0,-0.9999999999999999,1.0,-1.0,-0.9999999999999999,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,0.9999999999999999,1.0,1.0,-0.9999999999999999,-1.0,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0000000000000002,1.0,1.0,1.0,1.0,1.0
csubj,1.0,-1.0,1.0,-1.0000000000000002,1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,0.9999999999999998,-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0000000000000002,-1.0,1.0,-1.0,1.0,-1.0000000000000002,1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0000000000000002,-1.0,-1.0,-1.0,-1.0000000000000002,-1.0,-1.0,1.0,1.0,0.9999999999999999,-1.0,-1.0,-1.0000000000000002,-1.0,-1.0,-1.0
xcomp,-1.0,1.0,-1.0,0.9999999999999998,-1.0,0.9999999999999998,-1.0,0.9999999999999999,0.9999999999999999,1.0,-1.0,-0.9999999999999999,1.0000000000000002,-1.0,-1.0,-1.0,-1.0,-1.0,1.0000000000000002,1.0,1.0000000000000002,-0.9999999999999999,1.0,-1.0000000000000002,1.0,-1.0,-1.0,0.9999999999999999,0.9999999999999999,0.9999999999999999,-1.0,-1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,-1.0000000000000002,-1.0,-0.9999999999999998,1.0,0.9999999999999999,1.0,0.9999999999999998,1.0,0.9999999999999998
obl,1.0,-1.0,0.9999999999999999,-0.9999999999999998,1.0,-1.0,1.0,-1.0,-0.9999999999999999,-0.9999999999999999,1.0,0.9999999999999999,-0.9999999999999998,1.0,1.0,0.9999999999999999,1.0,0.9999999999999999,-1.0000000000000002,-1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,-0.9999999999999999,-1.0,-0.9999999999999999,-1.0,-1.0,1.0,0.9999999999999998,0.9999999999999998,-1.0,-1.0,-1.0,-1.0,-1.0,-0.9999999999999998
nmod,1.0000000000000002,-1.0000000000000002,1.0,-1.0000000000000002,1.0,-1.0,1.0000000000000002,-1.0,-1.0,-1.0,1.0,1.0,-1.0,0.9999999999999998,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0000000000000002,1.0,1.0000000000000002,-1.0,-1.0,-1.0,-1.0,-1.0000000000000002,-1.0000000000000002,0.9999999999999999,1.0,1.0,-1.0000000000000002,-1.0000000000000002,-1.0,-1.0,-1.0,-1.0000000000000002
cc,-0.9999999999999999,1.0,-1.0,1.0000000000000002,-1.0,0.9999999999999998,-1.0,0.9999999999999998,1.0,1.0,-1.0,-1.0,0.9999999999999998,-1.0,-0.9999999999999999,-1.0,-1.0,-1.0,1.0,0.9999999999999999,0.9999999999999999,-0.9999999999999999,0.9999999999999999,-1.0,0.9999999999999999,-1.0,-1.0,1.0,0.9999999999999999,0.9999999999999999,-1.0,-0.9999999999999998,1.0,0.9999999999999999,1.0,1.0,0.9999999999999999,1.0,-1.0,-1.0,-0.9999999999999999,1.0,0.9999999999999999,1.0,1.0,0.9999999999999999,1.0000000000000002
nsubj:pass,-1.0,1.0,-0.9999999999999999,1.0000000000000002,-1.0000000000000002,1.0,-1.0000000000000002,0.9999999999999999,1.0,1.0,-0.9999999999999999,-0.9999999999999999,0.9999999999999998,-0.9999999999999999,-1.0000000000000002,-0.9999999999999999,-0.9999999999999999,-1.0,0.9999999999999998,1.0,1.0,-1.0,1.0,-1.0,0.9999999999999999,-1.0,-1.0,0.9999999999999999,1.0,1.0,-1.0,-1.0,1.0,0.9999999999999999,1.0,1.0,1.0,0.9999999999999999,-1.0000000000000002,-1.0,-1.0,1.0,1.0,1.0000000000000002,1.0,1.0,1.0
discourse,-1.0,1.0000000000000002,-1.0,1.0,-1.0,1.0,-1.0000000000000002,1.0000000000000002,1.0,1.0,-1.0,-1.0,1.0,-0.9999999999999999,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0000000000000002,1.0,-1.0,0.9999999999999999,-1.0,-1.0000000000000002,0.9999999999999999,1.0,1.0,-1.0,-1.0,0.9999999999999998,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0000000000000002,1.0,1.0,1.0,1.0,1.0000000000000002
csubj:pass,1.0000000000000002,-1.0,1.0000000000000002,-1.0,1.0000000000000002,-1.0,1.0,-1.0,-1.0,-0.9999999999999999,0.9999999999999999,1.0,-1.0,0.9999999999999999,1.0,1.0,0.9999999999999999,0.9999999999999999,-1.0000000000000002,-1.0,-1.0000000000000002,1.0000000000000002,-0.9999999999999999,1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0000000000000002,-1.0,-1.0,-0.9999999999999999,-1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-0.9999999999999998,-0.9999999999999999,-1.0
acl,1.0,-1.0,1.0,-1.0,1.0000000000000002,-1.0,1.0,-0.9999999999999999,-1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0000000000000002,-1.0,1.0000000000000002,-1.0,1.0000000000000002,-1.0,1.0,1.0000000000000002,-0.9999999999999998,-1.0,-1.0,1.0,1.0,-1.0000000000000002,-1.0,-1.0000000000000002,-1.0,-1.0,-1.0000000000000002,1.0,0.9999999999999999,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0000000000000002
amod,-1.0,1.0,-1.0,1.0000000000000002,-1.0,1.0,-1.0,0.9999999999999998,1.0000000000000002,1.0000000000000002,-1.0000000000000002,-1.0,1.0,-0.9999999999999999,-1.0,-1.0,-1.0000000000000002,-1.0000000000000002,0.9999999999999999,1.0000000000000002,1.0,-1.0000000000000002,1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,0.9999999999999998,-1.0000000000000002,-1.0000000000000002,1.0,1.0,1.0,1.0,0.9999999999999998,1.0,-1.0,-1.0,-1.0,1.0,0.9999999999999998,1.0,1.0,1.0,1.0000000000000002
nummod,-1.0,1.0,-1.0,1.0,-1.0,0.9999999999999998,-1.0,1.0,0.9999999999999998,1.0,-0.9999999999999999,-1.0,1.0,-1.0,-1.0,-1.0,-0.9999999999999999,-0.9999999999999998,1.0,1.0000000000000002,1.0,-0.9999999999999999,1.0,-1.0,1.0,-0.9999999999999999,-1.0,0.9999999999999999,0.9999999999999999,1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,-0.9999999999999999,-0.9999999999999999,-1.0,1.0,1.0,1.0,0.9999999999999998,1.0,1.0
conj,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0000000000000002,0.9999999999999998,0.9999999999999999,1.0,-1.0,-1.0,1.0,-1.0,-1.0000000000000002,-1.0000000000000002,-1.0,-1.0,1.0000000000000002,1.0,1.0,-1.0,1.0000000000000002,-1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0000000000000002,1.0,1.0,1.0,1.0,1.0,1.0000000000000002,-1.0,-1.0,-1.0000000000000002,1.0,1.0,1.0,0.9999999999999999,1.0000000000000002,1.0
case,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,0.9999999999999999,1.0000000000000002,1.0,-0.9999999999999999,-1.0,0.9999999999999999,-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,1.0000000000000002,1.0,1.0,-0.9999999999999999,1.0,-1.0000000000000002,1.0,-0.9999999999999999,-1.0,1.0,1.0,1.0,-0.9999999999999999,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0000000000000002,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0
xcomp:pred,-1.0,1.0000000000000002,-1.0,1.0,-1.0,1.0,-1.0000000000000002,1.0000000000000002,1.0,1.0,-1.0,-1.0,1.0,-0.9999999999999999,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0000000000000002,1.0,-1.0,0.9999999999999999,-1.0,-1.0000000000000002,0.9999999999999999,1.0,1.0,-1.0,-1.0,0.9999999999999998,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0000000000000002,1.0,1.0,1.0,1.0,1.0000000000000002
aux:pass,-1.0000000000000002,1.0000000000000002,-1.0000000000000002,1.0000000000000002,-1.0,1.0000000000000002,-1.0000000000000002,1.0,1.0,1.0,-1.0000000000000002,-1.0,1.0,-1.0,-1.0,-1.0,-1.0000000000000002,-1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0000000000000002,1.0,0.9999999999999999,1.0,-1.0,-1.0000000000000002,1.0,0.9999999999999999,1.0000000000000002,1.0,1.0,1.0,-1.0,-1.0000000000000002,-1.0,1.0,1.0,1.0,1.0,1.0,1.0
advmod:neg,1.0,-0.9999999999999999,1.0,-0.9999999999999998,1.0000000000000002,-1.0,1.0000000000000002,-1.0,-1.0,-1.0000000000000002,0.9999999999999999,1.0,-1.0000000000000002,0.9999999999999999,1.0,1.0,0.9999999999999999,1.0,-1.0000000000000002,-1.0,-1.0,1.0,-1.0,1.0,-1.0000000000000002,1.0,0.9999999999999999,-1.0,-1.0000000000000002,-1.0,1.0,1.0,-1.0,-0.9999999999999999,-1.0,-1.0000000000000002,-1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0000000000000002,-1.0000000000000002,-1.0,-1.0
cop,0.9999999999999998,-1.0,0.9999999999999998,-1.0,1.0000000000000002,-1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,0.9999999999999998,-1.0,1.0,-1.0,0.9999999999999998,1.0,-1.0,-1.0,-1.0,1.0,0.9999999999999999,-1.0,-0.9999999999999999,-1.0,-1.0,-1.0,-1.0000000000000002,1.0,1.0,1.0,-0.9999999999999998,-1.0,-1.0000000000000002,-0.9999999999999999,-1.0,-1.0000000000000002
obj,1.0,-1.0,1.0,-1.0,1.0,-0.9999999999999999,1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,0.9999999999999999,-1.0,0.9999999999999999,-0.9999999999999998,0.9999999999999998,1.0,-0.9999999999999999,-1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0000000000000002,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
ccomp,-1.0,1.0,-1.0000000000000002,0.9999999999999998,-1.0,0.9999999999999998,-1.0,1.0,1.0000000000000002,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0000000000000002,1.0,1.0000000000000002,-1.0,1.0000000000000002,-1.0,1.0,-1.0,-1.0000000000000002,1.0,1.0,1.0000000000000002,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0000000000000002,1.0,-1.0,-0.9999999999999998,-1.0,1.0,1.0000000000000002,1.0000000000000002,0.9999999999999998,1.0000000000000002,1.0
fixed,-1.0,1.0000000000000002,-1.0,1.0,-1.0,1.0,-1.0000000000000002,1.0000000000000002,1.0,1.0,-1.0,-1.0,1.0,-0.9999999999999999,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0000000000000002,1.0,-1.0,0.9999999999999999,-1.0,-1.0000000000000002,0.9999999999999999,1.0,1.0,-1.0,-1.0,0.9999999999999998,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0000000000000002,1.0,1.0,1.0,1.0,1.0000000000000002
acl:relcl,-1.0,1.0000000000000002,-1.0000000000000002,1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,-0.9999999999999998,1.0,-0.9999999999999998,-1.0,-0.9999999999999998,-1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,-1.0000000000000002,1.0,-1.0,-1.0,1.0,1.0000000000000002,1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0000000000000002,-1.0000000000000002,-1.0,1.0000000000000002,1.0,1.0,1.0,1.0,1.0
advmod,-1.0,1.0,-1.0,1.0,-1.0000000000000002,1.0,-1.0,0.9999999999999999,1.0,1.0,-0.9999999999999998,-0.9999999999999998,0.9999999999999999,-1.0,-0.9999999999999998,-1.0,-0.9999999999999998,-0.9999999999999998,1.0,1.0,1.0,-0.9999999999999998,1.0,-1.0,0.9999999999999998,-1.0,-1.0,1.0,1.0,1.0,-0.9999999999999998,-1.0,1.0,0.9999999999999998,0.9999999999999999,1.0,1.0,1.0,-1.0000000000000002,-0.9999999999999999,-1.0,0.9999999999999998,1.0,1.0,1.0,1.0,1.0
orphan,-1.0000000000000002,1.0000000000000002,-1.0000000000000002,1.0,-1.0,0.9999999999999998,-1.0,1.0,1.0,1.0,-1.0,-0.9999999999999999,1.0,-1.0,-0.9999999999999999,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,0.9999999999999999,1.0,1.0,-0.9999999999999999,-1.0,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0000000000000002,1.0,1.0,1.0,1.0,1.0
punct,-1.0,1.0,-1.0000000000000002,1.0000000000000002,-1.0000000000000002,1.0,-1.0,1.0,1.0000000000000002,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,0.9999999999999998,-0.9999999999999998,-1.0000000000000002,1.0000000000000002,1.0,1.0000000000000002,-1.0,-1.0000000000000002,1.0000000000000002,1.0,1.0,1.0,1.0000000000000002,1.0,-1.0,-1.0000000000000002,-1.0,1.0,1.0000000000000002,1.0,1.0,1.0,1.0
