,len,PUNCT,AUX,ADV,PART,CCONJ,NOUN,SCONJ,VERB,ADP,PROPN,PRON,NUM,ADJ,advmod:emph,obl:arg,aux,flat,nsubj,root,advcl,mark,det,advcl:pred,csubj,xcomp,obl,nmod,cc,nsubj:pass,discourse,csubj:pass,acl,expl:pass,amod,nummod,conj,case,xcomp:pred,aux:pass,advmod:neg,cop,obj,ccomp,fixed,acl:relcl,advmod,orphan,punct
len,1.0,-1.0000000000000002,-1.0000000000000002,1.0,-1.0,-1.0,-1.0,-1.0,1.0000000000000002,0.9999999999999999,-1.0,0.9999999999999998,1.0,1.0,1.0000000000000002,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,0.9999999999999999,-1.0,-1.0000000000000002,1.0000000000000002,1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0000000000000002,-1.0,-1.0,1.0,-1.0,-1.0,-1.0
PUNCT,-1.0000000000000002,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,-1.0000000000000002,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0000000000000002,1.0,1.0000000000000002,1.0,1.0,1.0,1.0000000000000002,1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,1.0000000000000002,-1.0,1.0,-1.0,1.0000000000000002,1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,1.0000000000000002,1.0,1.0000000000000002
AUX,-1.0000000000000002,1.0,1.0,-0.9999999999999999,1.0,1.0000000000000002,1.0,0.9999999999999999,-1.0,-1.0,1.0,-1.0,-1.0000000000000002,-0.9999999999999998,-1.0000000000000002,-1.0,1.0,1.0,1.0,1.0000000000000002,1.0,1.0,0.9999999999999998,-1.0,1.0,-1.0,-1.0,1.0,1.0000000000000002,1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0000000000000002,-1.0,-1.0000000000000002,0.9999999999999998,1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,1.0000000000000002,1.0,1.0
ADV,1.0,-1.0,-0.9999999999999999,1.0,-0.9999999999999998,-1.0,-0.9999999999999999,-0.9999999999999999,0.9999999999999999,1.0,-0.9999999999999998,0.9999999999999998,1.0,0.9999999999999998,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.9999999999999999,-1.0,0.9999999999999998,1.0,-0.9999999999999999,-0.9999999999999999,-1.0,0.9999999999999998,-0.9999999999999999,1.0,-1.0,-1.0,1.0000000000000002,0.9999999999999998,0.9999999999999999,-1.0,-1.0,1.0,-1.0,-1.0000000000000002,-1.0,-1.0,1.0,-1.0,-1.0,-1.0
PART,-1.0,1.0,1.0,-0.9999999999999998,1.0,1.0,1.0,0.9999999999999999,-1.0,-0.9999999999999998,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0000000000000002,-1.0,-1.0000000000000002,1.0,1.0,-1.0,0.9999999999999999,1.0,1.0000000000000002,1.0,-1.0000000000000002,1.0000000000000002,1.0,1.0
CCONJ,-1.0,1.0,1.0000000000000002,-1.0,1.0,1.0,1.0,0.9999999999999999,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0000000000000002,-0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0000000000000002,0.9999999999999999,-0.9999999999999999,1.0,-1.0,-0.9999999999999998,1.0,1.0,0.9999999999999998,-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,1.0000000000000002,1.0,1.0,-1.0,1.0000000000000002,1.0,1.0
NOUN,-1.0,1.0,1.0,-0.9999999999999999,1.0,1.0,1.0,1.0,-1.0000000000000002,-1.0000000000000002,1.0,-0.9999999999999998,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,0.9999999999999998,-1.0,-0.9999999999999999,1.0,1.0,1.0,-1.0000000000000002,0.9999999999999998,-1.0,1.0,1.0,-1.0000000000000002,-1.0,-1.0000000000000002,0.9999999999999998,1.0,-1.0000000000000002,1.0,1.0,1.0,1.0,-1.0000000000000002,1.0000000000000002,1.0,0.9999999999999998
SCONJ,-1.0,1.0,0.9999999999999999,-0.9999999999999999,0.9999999999999999,0.9999999999999999,1.0,1.0,-1.0,-1.0,0.9999999999999999,-0.9999999999999999,-0.9999999999999999,-1.0,-1.0,-1.0000000000000002,1.0,0.9999999999999999,0.9999999999999999,0.9999999999999998,1.0,0.9999999999999998,0.9999999999999998,-0.9999999999999998,1.0,-0.9999999999999999,-0.9999999999999999,0.9999999999999999,0.9999999999999999,1.0,-1.0,1.0,-1.0,0.9999999999999999,1.0000000000000002,-1.0,-1.0,-1.0,0.9999999999999999,1.0,-1.0000000000000002,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0
VERB,1.0000000000000002,-1.0000000000000002,-1.0,0.9999999999999999,-1.0,-1.0,-1.0000000000000002,-1.0,1.0,1.0,-1.0,1.0,1.0000000000000002,1.0,0.9999999999999998,0.9999999999999998,-1.0000000000000002,-1.0000000000000002,-1.0,-0.9999999999999998,-1.0000000000000002,-1.0,-1.0,1.0,-1.0000000000000002,1.0,1.0,-1.0,-1.0000000000000002,-1.0000000000000002,1.0,-1.0000000000000002,1.0,-1.0000000000000002,-1.0,1.0000000000000002,1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0000000000000002,1.0,-1.0,-1.0000000000000002,-1.0
ADP,0.9999999999999999,-1.0,-1.0,1.0,-0.9999999999999998,-1.0,-1.0000000000000002,-1.0,1.0,1.0,-0.9999999999999998,1.0,1.0000000000000002,1.0,1.0,1.0,-1.0,-1.0,-1.0000000000000002,-1.0,-1.0000000000000002,-1.0,-1.0,0.9999999999999998,-0.9999999999999999,1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0000000000000002,1.0,-1.0,-1.0,1.0000000000000002,1.0,1.0,-1.0,-1.0000000000000002,1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0
PROPN,-1.0,1.0,1.0,-0.9999999999999998,1.0,1.0,1.0,0.9999999999999999,-1.0,-0.9999999999999998,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0000000000000002,-1.0,-1.0000000000000002,1.0,1.0,-1.0,0.9999999999999999,1.0,1.0000000000000002,1.0,-1.0000000000000002,1.0000000000000002,1.0,1.0
PRON,0.9999999999999998,-1.0,-1.0,0.9999999999999998,-1.0,-1.0,-0.9999999999999998,-0.9999999999999999,1.0,1.0,-1.0,1.0,0.9999999999999998,0.9999999999999999,1.0,1.0,-0.9999999999999998,-1.0,-1.0,-0.9999999999999999,-0.9999999999999998,-0.9999999999999999,-0.9999999999999999,1.0,-0.9999999999999999,0.9999999999999999,0.9999999999999998,-0.9999999999999998,-0.9999999999999998,-1.0,1.0,-1.0,1.0,-1.0,-1.0,1.0,0.9999999999999999,0.9999999999999999,-0.9999999999999999,-1.0,0.9999999999999999,-0.9999999999999999,-1.0,-1.0,-0.9999999999999998,1.0,-1.0,-0.9999999999999998,-1.0
NUM,1.0,-1.0,-1.0000000000000002,1.0,-1.0,-1.0,-1.0,-0.9999999999999999,1.0000000000000002,1.0000000000000002,-1.0,0.9999999999999998,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,1.0,-0.9999999999999998,1.0,1.0,-1.0,-1.0,-0.9999999999999999,1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,0.9999999999999999,-1.0,-1.0000000000000002,1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0000000000000002,-1.0,-1.0
ADJ,1.0,-1.0,-0.9999999999999998,0.9999999999999998,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,0.9999999999999999,1.0,1.0,1.0,0.9999999999999999,-1.0,-1.0,-1.0,-0.9999999999999999,-0.9999999999999998,-1.0,-1.0,1.0,-1.0,0.9999999999999998,0.9999999999999998,-1.0,-1.0,-1.0,1.0,-1.0,0.9999999999999999,-1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,0.9999999999999999,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0
advmod:emph,1.0000000000000002,-1.0,-1.0000000000000002,1.0,-1.0,-1.0000000000000002,-1.0,-1.0,0.9999999999999998,1.0,-1.0,1.0,1.0,1.0,1.0,0.9999999999999999,-1.0000000000000002,-1.0000000000000002,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,-0.9999999999999999,1.0,-1.0000000000000002,-1.0,1.0000000000000002,1.0,0.9999999999999998,-1.0,-1.0,1.0000000000000002,-1.0000000000000002,-1.0000000000000002,-1.0,-1.0000000000000002,1.0,-1.0000000000000002,-1.0000000000000002,-0.9999999999999999
obl:arg,1.0,-1.0000000000000002,-1.0,1.0,-1.0,-0.9999999999999999,-1.0,-1.0000000000000002,0.9999999999999998,1.0,-1.0,1.0,1.0,0.9999999999999999,0.9999999999999999,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.9999999999999999,-1.0,1.0,0.9999999999999998,-1.0,-1.0,-1.0,1.0,-1.0000000000000002,0.9999999999999998,-1.0,-1.0,1.0000000000000002,1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0000000000000002,-1.0,-1.0,-1.0
aux,-1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,-1.0000000000000002,-1.0,1.0,-0.9999999999999998,-1.0,-1.0,-1.0000000000000002,-1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,0.9999999999999998,-1.0,0.9999999999999998,-1.0,-0.9999999999999999,0.9999999999999999,1.0,1.0,-1.0,1.0,-1.0,1.0,1.0000000000000002,-1.0,-0.9999999999999998,-1.0000000000000002,1.0,1.0,-0.9999999999999998,1.0,1.0,1.0,1.0,-1.0,1.0000000000000002,1.0,1.0
flat,-1.0,1.0000000000000002,1.0,-1.0,1.0,1.0,1.0,0.9999999999999999,-1.0000000000000002,-1.0,1.0,-1.0,-1.0,-1.0,-1.0000000000000002,-1.0,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,0.9999999999999999,-1.0000000000000002,1.0,-1.0,-1.0,1.0,0.9999999999999998,1.0,-1.0,0.9999999999999999,-0.9999999999999999,1.0,1.0,-1.0000000000000002,-0.9999999999999998,-0.9999999999999999,1.0,1.0,-1.0,1.0000000000000002,1.0,1.0,1.0,-1.0,1.0,1.0,1.0
nsubj,-1.0,1.0,1.0,-1.0,1.0,1.0,1.0,0.9999999999999999,-1.0,-1.0000000000000002,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0000000000000002,1.0,0.9999999999999999,1.0,1.0,0.9999999999999999,-0.9999999999999999,1.0,-1.0,-0.9999999999999998,1.0,0.9999999999999999,1.0,-1.0,1.0,-1.0,1.0000000000000002,1.0,-1.0,-1.0,-1.0000000000000002,1.0,1.0,-0.9999999999999999,1.0,1.0,1.0,1.0,-1.0,1.0000000000000002,1.0,1.0
root,-1.0,1.0,1.0000000000000002,-1.0,0.9999999999999999,1.0,1.0,0.9999999999999998,-0.9999999999999998,-1.0,0.9999999999999999,-0.9999999999999999,-1.0,-0.9999999999999999,-1.0,-1.0,1.0,1.0,0.9999999999999999,1.0,0.9999999999999999,1.0,0.9999999999999999,-0.9999999999999998,1.0,-0.9999999999999999,-0.9999999999999999,1.0,0.9999999999999999,1.0,-0.9999999999999999,0.9999999999999999,-0.9999999999999998,1.0,0.9999999999999999,-1.0000000000000002,-0.9999999999999999,-0.9999999999999998,1.0,1.0,-0.9999999999999998,1.0,1.0,1.0,1.0,-0.9999999999999999,1.0,1.0,0.9999999999999999
advcl,-1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,-1.0000000000000002,-1.0000000000000002,1.0,-0.9999999999999998,-1.0,-0.9999999999999998,-1.0,-1.0,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,0.9999999999999999,-0.9999999999999999,1.0,-1.0,-0.9999999999999998,1.0,1.0,1.0,-0.9999999999999998,1.0,-1.0,1.0,1.0,-1.0,-0.9999999999999998,-1.0,1.0,1.0,-1.0,1.0,1.0000000000000002,1.0,1.0,-1.0,1.0000000000000002,1.0,0.9999999999999999
mark,-0.9999999999999999,1.0000000000000002,1.0,-1.0,1.0,1.0000000000000002,1.0,0.9999999999999998,-1.0,-1.0,1.0,-0.9999999999999999,-0.9999999999999999,-1.0,-1.0,-1.0,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,0.9999999999999998,-1.0,0.9999999999999999,-1.0,-0.9999999999999999,1.0,1.0,1.0,-1.0,1.0,-0.9999999999999998,1.0,1.0,-1.0,-1.0,-1.0,1.0,0.9999999999999999,-1.0,1.0,1.0,0.9999999999999999,0.9999999999999999,-1.0,1.0000000000000002,0.9999999999999999,1.0
det,-1.0,1.0,0.9999999999999998,-1.0,1.0,0.9999999999999999,1.0,0.9999999999999998,-1.0,-1.0,1.0,-0.9999999999999999,-1.0,-1.0,-1.0,-1.0,0.9999999999999998,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999998,1.0,-0.9999999999999999,0.9999999999999999,-0.9999999999999999,-0.9999999999999999,1.0000000000000002,0.9999999999999998,1.0,-1.0,1.0,-1.0,0.9999999999999999,1.0,-1.0,-1.0,-1.0,0.9999999999999999,0.9999999999999999,-1.0,1.0,1.0,1.0,0.9999999999999998,-0.9999999999999999,1.0,0.9999999999999998,0.9999999999999999
advcl:pred,1.0,-1.0,-1.0,0.9999999999999999,-1.0,-0.9999999999999999,-1.0,-0.9999999999999998,1.0,0.9999999999999998,-1.0,1.0,1.0,1.0,1.0,0.9999999999999999,-1.0,-1.0000000000000002,-0.9999999999999999,-0.9999999999999998,-0.9999999999999999,-1.0,-0.9999999999999999,1.0,-1.0,0.9999999999999999,1.0,-1.0,-1.0,-0.9999999999999999,0.9999999999999999,-1.0,1.0000000000000002,-1.0000000000000002,-1.0,1.0,0.9999999999999999,1.0,-1.0,-1.0,0.9999999999999998,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0
