,len,PUNCT,AUX,ADV,PART,CCONJ,NOUN,SCONJ,VERB,ADP,PROPN,PRON,NUM,ADJ,advmod:emph,obl:arg,aux,flat,nsubj,root,advcl,mark,det,advcl:pred,csubj,xcomp,obl,nmod,cc,nsubj:pass,discourse,csubj:pass,acl,expl:pass,amod,nummod,conj,case,xcomp:pred,aux:pass,advmod:neg,cop,obj,ccomp,fixed,acl:relcl,advmod,orphan,punct
csubj,-1.0,1.0,1.0,-1.0,1.0,1.0,0.9999999999999998,1.0,-1.0000000000000002,-0.9999999999999999,1.0,-0.9999999999999999,-0.9999999999999998,-1.0,-1.0,-1.0,0.9999999999999998,1.0,1.0,1.0,1.0,0.9999999999999999,0.9999999999999999,-1.0,1.0,-0.9999999999999998,-0.9999999999999998,1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,-0.9999999999999998,-1.0,1.0,1.0,-1.0,1.0,1.0,1.0,0.9999999999999998,-1.0,1.0000000000000002,0.9999999999999998,1.0
xcomp,1.0,-1.0,-1.0,0.9999999999999998,-1.0,-1.0,-1.0,-0.9999999999999999,1.0,1.0,-1.0,0.9999999999999999,1.0,0.9999999999999998,1.0,1.0,-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,-1.0,-0.9999999999999999,0.9999999999999999,-0.9999999999999998,1.0,0.9999999999999998,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,0.9999999999999999,-1.0,-1.0,0.9999999999999999,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0
obl,1.0,-1.0,-1.0,1.0,-1.0,-0.9999999999999998,-0.9999999999999999,-0.9999999999999999,1.0,1.0,-1.0,0.9999999999999998,1.0,0.9999999999999998,1.0,0.9999999999999998,-0.9999999999999999,-1.0,-0.9999999999999998,-0.9999999999999999,-0.9999999999999998,-0.9999999999999999,-0.9999999999999999,1.0,-0.9999999999999998,0.9999999999999998,1.0,-0.9999999999999999,-1.0,-1.0,0.9999999999999998,-1.0,1.0,-1.0,-1.0000000000000002,1.0,1.0,1.0,-1.0,-0.9999999999999998,1.0,-1.0,-1.0,-1.0,-0.9999999999999999,0.9999999999999998,-1.0000000000000002,-0.9999999999999999,-1.0
nmod,-1.0,1.0,1.0,-0.9999999999999999,1.0,1.0,1.0,0.9999999999999999,-1.0,-1.0,1.0,-0.9999999999999998,-1.0,-1.0,-1.0,-1.0,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0000000000000002,-1.0,1.0,-1.0,-0.9999999999999999,1.0,1.0,1.0,-1.0,0.9999999999999998,-1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,1.0,0.9999999999999999,-0.9999999999999998,1.0,0.9999999999999999,1.0
cc,-1.0,1.0,1.0000000000000002,-0.9999999999999999,1.0,1.0,1.0,0.9999999999999999,-1.0000000000000002,-1.0,1.0,-0.9999999999999998,-1.0,-1.0,-1.0,-1.0,1.0,0.9999999999999998,0.9999999999999999,0.9999999999999999,1.0,1.0,0.9999999999999998,-1.0,1.0,-1.0,-1.0,1.0,1.0,0.9999999999999999,-1.0,1.0,-1.0,0.9999999999999998,1.0,-1.0,-1.0,-0.9999999999999999,0.9999999999999998,1.0,-1.0,1.0,1.0000000000000002,1.0000000000000002,1.0,-0.9999999999999998,1.0,1.0,1.0
nsubj:pass,-1.0,1.0000000000000002,1.0,-1.0,1.0,0.9999999999999998,1.0,1.0,-1.0000000000000002,-1.0,1.0,-1.0,-0.9999999999999999,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.9999999999999999,1.0,-1.0,-1.0,1.0,0.9999999999999999,1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0000000000000002,-1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,1.0000000000000002,1.0,1.0
discourse,1.0,-1.0,-1.0,0.9999999999999998,-1.0,-1.0,-1.0000000000000002,-1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-0.9999999999999999,-0.9999999999999998,-1.0,-1.0,0.9999999999999999,-1.0,1.0,0.9999999999999998,-1.0,-1.0,-1.0,1.0,-1.0000000000000002,1.0,-1.0,-1.0000000000000002,1.0,1.0000000000000002,1.0,-1.0,-1.0,0.9999999999999999,-1.0000000000000002,-1.0000000000000002,-1.0,-1.0,1.0,-1.0000000000000002,-1.0,-0.9999999999999999
csubj:pass,-1.0,1.0,1.0,-0.9999999999999999,1.0,1.0,0.9999999999999998,1.0,-1.0000000000000002,-1.0000000000000002,1.0,-1.0,-1.0,-1.0,-0.9999999999999999,-1.0000000000000002,1.0,0.9999999999999999,1.0,0.9999999999999999,1.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,0.9999999999999998,1.0,1.0,-1.0000000000000002,1.0,-1.0,0.9999999999999999,0.9999999999999998,-1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,1.0000000000000002,1.0,1.0
acl,0.9999999999999999,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,0.9999999999999999,1.0,0.9999999999999998,-1.0,-0.9999999999999999,-1.0,-0.9999999999999998,-1.0,-0.9999999999999998,-1.0,1.0000000000000002,-1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-0.9999999999999999,-1.0000000000000002,1.0000000000000002,0.9999999999999999,1.0000000000000002,-1.0,-1.0000000000000002,0.9999999999999998,-1.0000000000000002,-1.0000000000000002,-1.0,-1.0,1.0,-1.0,-1.0,-1.0
expl:pass,-1.0,1.0000000000000002,1.0,-1.0,1.0,1.0,1.0,0.9999999999999999,-1.0000000000000002,-1.0,1.0,-1.0,-1.0,-1.0,-1.0000000000000002,-1.0,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,0.9999999999999999,-1.0000000000000002,1.0,-1.0,-1.0,1.0,0.9999999999999998,1.0,-1.0,0.9999999999999999,-0.9999999999999999,1.0,1.0,-1.0000000000000002,-0.9999999999999998,-0.9999999999999999,1.0,1.0,-1.0,1.0000000000000002,1.0,1.0,1.0,-1.0,1.0,1.0,1.0
amod,-1.0000000000000002,1.0,1.0,-1.0,1.0,1.0,1.0,1.0000000000000002,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0000000000000002,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,-1.0,1.0,-1.0,-1.0000000000000002,1.0,1.0,1.0,-1.0000000000000002,0.9999999999999998,-1.0000000000000002,1.0,1.0,-1.0,-1.0,-1.0000000000000002,1.0,1.0,-1.0,1.0000000000000002,1.0,1.0,1.0000000000000002,-1.0,1.0000000000000002,1.0000000000000002,1.0
nummod,1.0000000000000002,-1.0,-1.0000000000000002,1.0000000000000002,-1.0000000000000002,-1.0,-1.0000000000000002,-1.0,1.0000000000000002,1.0000000000000002,-1.0000000000000002,1.0,1.0,1.0,1.0000000000000002,1.0000000000000002,-1.0,-1.0000000000000002,-1.0,-1.0000000000000002,-1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0000000000000002,1.0,-1.0,1.0000000000000002,-1.0000000000000002,-1.0,1.0,1.0,1.0,-1.0,-1.0000000000000002,1.0,-1.0000000000000002,-1.0000000000000002,-1.0000000000000002,-1.0,1.0,-1.0000000000000002,-1.0,-1.0
conj,1.0,-1.0,-1.0,0.9999999999999998,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,0.9999999999999999,1.0,1.0,1.0,1.0,-0.9999999999999998,-0.9999999999999998,-1.0,-0.9999999999999999,-0.9999999999999998,-1.0,-1.0,0.9999999999999999,-0.9999999999999998,1.0,1.0,-1.0,-1.0,-1.0,1.0000000000000002,-1.0,0.9999999999999999,-0.9999999999999998,-1.0,1.0,1.0,1.0,-0.9999999999999999,-0.9999999999999999,0.9999999999999999,-0.9999999999999999,-1.0,-1.0,-0.9999999999999998,1.0,-1.0000000000000002,-0.9999999999999998,-1.0
case,1.0,-1.0,-1.0000000000000002,0.9999999999999999,-1.0000000000000002,-1.0,-1.0000000000000002,-1.0,1.0,1.0,-1.0000000000000002,0.9999999999999999,0.9999999999999999,1.0,0.9999999999999998,1.0,-1.0000000000000002,-0.9999999999999999,-1.0000000000000002,-0.9999999999999998,-1.0,-1.0,-1.0,1.0,-1.0,0.9999999999999999,1.0,-1.0,-0.9999999999999999,-1.0,1.0,-1.0,1.0000000000000002,-0.9999999999999999,-1.0000000000000002,1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0000000000000002,1.0000000000000002,-1.0,-1.0000000000000002,-1.0
xcomp:pred,-1.0,1.0,0.9999999999999998,-1.0,1.0,1.0,0.9999999999999998,0.9999999999999999,-1.0,-1.0,1.0,-0.9999999999999999,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,-1.0,1.0,-1.0,-1.0,1.0,0.9999999999999998,1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,-0.9999999999999999,-1.0,1.0,1.0,-1.0,0.9999999999999999,1.0000000000000002,1.0,1.0,-1.0,1.0000000000000002,1.0,1.0
aux:pass,-1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,-1.0000000000000002,1.0,-1.0,-1.0000000000000002,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,0.9999999999999999,-1.0,1.0,-1.0,-0.9999999999999998,1.0,1.0,1.0,-1.0,1.0,-1.0000000000000002,1.0,1.0,-1.0000000000000002,-0.9999999999999999,-1.0,1.0,1.0,-1.0000000000000002,1.0000000000000002,1.0,1.0,1.0,-0.9999999999999999,1.0000000000000002,1.0,1.0
advmod:neg,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0000000000000002,-1.0000000000000002,1.0,1.0,-1.0,0.9999999999999999,1.0,0.9999999999999999,1.0000000000000002,1.0,-0.9999999999999998,-1.0,-0.9999999999999999,-0.9999999999999998,-1.0,-1.0,-1.0,0.9999999999999998,-1.0,0.9999999999999999,1.0,-1.0,-1.0,-1.0,0.9999999999999999,-1.0,0.9999999999999998,-1.0,-1.0,1.0,0.9999999999999999,1.0,-1.0,-1.0000000000000002,1.0,-0.9999999999999998,-1.0,-1.0,-0.9999999999999998,1.0000000000000002,-1.0,-0.9999999999999998,-0.9999999999999999
cop,-1.0,1.0,1.0,-1.0,0.9999999999999999,1.0,1.0,1.0,-1.0,-1.0,0.9999999999999999,-0.9999999999999999,-1.0,-1.0,-1.0000000000000002,-1.0,1.0,1.0000000000000002,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0000000000000002,1.0,-1.0000000000000002,1.0000000000000002,1.0000000000000002,-1.0000000000000002,-0.9999999999999999,-1.0,0.9999999999999999,1.0000000000000002,-0.9999999999999998,1.0,1.0,1.0000000000000002,1.0,-1.0,1.0000000000000002,1.0,0.9999999999999998
obj,-1.0000000000000002,1.0,1.0,-1.0000000000000002,1.0,1.0000000000000002,1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0000000000000002,-1.0,1.0,1.0,1.0,1.0,1.0000000000000002,1.0,1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0000000000000002,1.0,-1.0000000000000002,1.0,-1.0000000000000002,1.0,1.0,-1.0000000000000002,-1.0,-1.0,1.0000000000000002,1.0,-1.0,1.0,1.0,1.0000000000000002,1.0,-1.0000000000000002,1.0,1.0,1.0
ccomp,-1.0,1.0,1.0,-1.0,1.0000000000000002,1.0,1.0,1.0,-1.0,-1.0,1.0000000000000002,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0000000000000002,1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0000000000000002,-1.0,-1.0,1.0,1.0,-1.0,1.0000000000000002,1.0000000000000002,1.0,1.0,-1.0,1.0,1.0,1.0
fixed,-1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,-1.0000000000000002,-1.0,1.0,-0.9999999999999998,-1.0,-1.0,-1.0000000000000002,-1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,0.9999999999999998,-1.0,0.9999999999999998,-1.0,-0.9999999999999999,0.9999999999999999,1.0,1.0,-1.0,1.0,-1.0,1.0,1.0000000000000002,-1.0,-0.9999999999999998,-1.0000000000000002,1.0,1.0,-0.9999999999999998,1.0,1.0,1.0,1.0,-1.0,1.0000000000000002,1.0,1.0
acl:relcl,1.0,-1.0,-1.0,1.0,-1.0000000000000002,-1.0,-1.0000000000000002,-1.0,1.0,1.0,-1.0000000000000002,1.0,1.0,1.0,1.0,1.0000000000000002,-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,-1.0,-0.9999999999999999,1.0,-1.0,1.0,0.9999999999999998,-0.9999999999999998,-0.9999999999999998,-1.0,1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,1.0000000000000002,-1.0,-0.9999999999999999,1.0000000000000002,-1.0,-1.0000000000000002,-1.0,-1.0,1.0,-1.0000000000000002,-1.0,-1.0
advmod,-1.0,1.0000000000000002,1.0000000000000002,-1.0,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0,-1.0,-1.0,1.0000000000000002,-1.0,-1.0000000000000002,-1.0,-1.0000000000000002,-1.0,1.0000000000000002,1.0,1.0000000000000002,1.0,1.0000000000000002,1.0000000000000002,1.0,-1.0,1.0000000000000002,-1.0,-1.0000000000000002,1.0,1.0,1.0000000000000002,-1.0000000000000002,1.0000000000000002,-1.0,1.0,1.0000000000000002,-1.0000000000000002,-1.0000000000000002,-1.0,1.0000000000000002,1.0000000000000002,-1.0,1.0000000000000002,1.0,1.0,1.0000000000000002,-1.0000000000000002,1.0,1.0000000000000002,1.0000000000000002
orphan,-1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,-1.0000000000000002,-1.0,1.0,-0.9999999999999998,-1.0,-1.0,-1.0000000000000002,-1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,0.9999999999999998,-1.0,0.9999999999999998,-1.0,-0.9999999999999999,0.9999999999999999,1.0,1.0,-1.0,1.0,-1.0,1.0,1.0000000000000002,-1.0,-0.9999999999999998,-1.0000000000000002,1.0,1.0,-0.9999999999999998,1.0,1.0,1.0,1.0,-1.0,1.0000000000000002,1.0,1.0
punct,-1.0,1.0000000000000002,1.0,-1.0,1.0,1.0,0.9999999999999998,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,1.0,1.0,1.0,0.9999999999999999,0.9999999999999999,1.0,0.9999999999999999,-1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,-0.9999999999999999,1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,-0.9999999999999999,0.9999999999999998,1.0,1.0,1.0,-1.0,1.0000000000000002,1.0,1.0
